floor_area_sqm,bedrooms,schools,asking_price
60,2,3,480000.0
63,2,4,450000.0
65,2,1,480000.0
65,2,4,360000.0
66,2,5,350000.0
67,2,0,400000.0
67,2,1,430000.0
67,2,2,450000.0
67,2,3,410000.0
67,2,4,390000.0
67,2,5,390000.0
67,2,6,390000.0
68,2,1,460000.0
68,2,2,400000.0
68,2,3,370000.0
68,2,4,360000.0
68,2,6,370000.0
68,2,7,400000.0
68,2,8,370000.0
69,2,3,420000.0
70,2,3,510000.0
70,2,8,370000.0
73,2,5,370000.0
73,2,7,380000.0
83,2,1,590000.0
83,3,1,650000.0
83,3,2,550000.0
83,3,3,550000.0
83,3,4,580000.0
84,3,3,560000.0
86,3,2,560000.0
88,3,3,510000.0
89,3,1,610000.0
90,3,3,500000.0
90,3,4,520000.0
90,3,5,490000.0
91,3,0,550000.0
91,3,3,620000.0
92,3,1,490000.0
92,3,2,590000.0
92,3,3,490000.0
92,3,4,510000.0
92,3,5,490000.0
92,3,6,490000.0
92,3,7,510000.0
93,3,0,490000.0
93,3,1,660000.0
93,3,2,540000.0
93,3,3,550000.0
93,3,4,490000.0
93,3,5,510000.0
93,3,6,490000.0
93,3,7,490000.0
94,3,2,590000.0
94,3,3,550000.0
94,3,4,490000.0
94,3,5,540000.0
95,3,1,700000.0
95,3,2,620000.0
95,3,3,530000.0
95,3,4,540000.0
96,3,2,600000.0
96,3,7,480000.0
97,3,1,660000.0
97,3,2,600000.0
97,3,4,440000.0
98,3,5,450000.0
104,3,1,720000.0
105,3,0,630000.0
105,3,1,670000.0
105,3,2,670000.0
105,4,1,610000.0
108,3,1,780000.0
109,3,2,700000.0
110,3,3,670000.0
110,3,4,660000.0
111,3,3,640000.0
112,3,1,700000.0
112,3,2,660000.0
112,3,3,670000.0
112,3,4,650000.0
113,3,1,640000.0
113,3,2,590000.0
113,3,3,600000.0
113,3,4,590000.0
113,3,5,590000.0
115,3,1,720000.0
115,3,2,700000.0
119,4,3,690000.0
124,3,1,770000.0
